code,language,one,few,many
basic_dart,cs,obyčejná šipka,obyčejné šipky,obyčejných šipek
war_dart,cs,válečná šipka,válečné šipky,válečných šipek
piercing_dart,cs,průrazná šipka,průrazné šipky,průrazných šipek
hollow_dart,cs,dutá šipka,duté šipky,dutých šipek
silver_dart,cs,stříbrná šipka,stříbrné šipky,stříbrných šipek
basic_dart,en,basic dart,basic darts,basic darts
war_dart,en,war dart,war darts,war darts
piercing_dart,en,piercing dart,piercing darts,piercing darts
hollow_dart,en,hollow dart,hollow darts,hollow darts
silver_dart,en,silver dart,silver darts,silver darts
